Entry,t0,t4,t8,t12,t16,t20,t24
DDB_G0267660,0,0.06,0,0.08,0.35,0.07,0.25
DDB_G0267820,0.3,0.51,0,1.05,0.57,0.94,0.29
DDB_G0269220,0,1.03,2.65,1.27,0.39,0.46,0.59
DDB_G0270228,0.12,0.07,0,0.27,0.91,0.43,0.17
DDB_G0270494,0,0.3,0.8,0.55,0.17,0.49,0.43
DDB_G0270738,0,0.38,0.91,1.13,2.38,4.66,2.63
DDB_G0270818,0,0,1.45,2.93,3.68,1.54,0.95
DDB_G0271532,0,0,0,0,0,0,0
DDB_G0271534,0,0.53,4.57,5.19,7.42,6.1,4.64
DDB_G0272648,0,0,0.22,0.24,0,0,0
DDB_G0273135,1.31,0,2.57,3.81,3.71,0.87,1.13
DDB_G0273481,0,0.14,0.35,0.96,2.92,3.52,2.27
DDB_G0273855,0,0,0,0,0,0,0
DDB_G0275569,0,1.27,0.33,1.96,2.79,6.7,9.74
DDB_G0275923,0,0.12,0,0.17,0.42,0.62,0
DDB_G0276537,0,2.88,4.85,3.07,4.89,4.46,2.2
DDB_G0276975,0,0,0,0,0,0,0
DDB_G0277081,0,0.28,0.22,0.35,0.11,0.38,0.32
DDB_G0277359,0,0.1,0.35,0.28,0.21,0.7,0.33
DDB_G0278459,0,0.71,1.3,3.7,6.21,4.53,2.46
DDB_G0278517,0.36,0,1.35,2.24,2.62,0.46,1.43
DDB_G0278857,0,0.27,0.47,0.66,0.2,0.6,0.62
DDB_G0279521,0,0.09,0.23,0.13,0.12,0.23,0
DDB_G0279749,0,0.68,0,1.52,1.54,3.2,2.76
DDB_G0279787,0,0,0.24,0.14,0,0.24,0.52
DDB_G0279789,0,0.76,1.62,2.79,5.44,1.13,0.54
DDB_G0279835,0,0.07,0.36,0.3,0.45,0.73,0.63
DDB_G0280129,0.6,0,0.6,1.01,1.14,0.31,1.85
DDB_G0280411,0,0,0.19,0.25,0.24,0.61,0
DDB_G0280483,0,0.49,0.68,0.61,0.25,3.31,0.48
DDB_G0280843,0,0.13,0.17,0.38,0.85,0.78,0.97
DDB_G0281029,0,0.15,0.55,0.38,0.53,0.6,0.32
DDB_G0281341,0,2.11,4.94,7.3,7.8,8.45,3.65
DDB_G0282063,0,1.21,4.78,7.48,10.97,10.44,9.97
DDB_G0282387,0,0.24,0.37,0.35,1.18,0.13,0.27
DDB_G0282389,0,0.4,0.35,0.8,0,0.54,0.16
DDB_G0282449,0,0.08,0.16,0.23,0.64,0.53,0
DDB_G0282875,0,1.6,2.16,4.06,5.44,2.84,3.15
DDB_G0282897,0,2.33,0.87,6.85,12.26,4.84,5.7
DDB_G0283171,0,0.17,0.34,2.74,3.11,1.34,0
DDB_G0284521,0,0.15,0.35,0.11,0.44,0.1,0.09
DDB_G0285379,0,0,0.46,0.26,0.24,0,0
DDB_G0285471,0.45,0,0.45,0.5,1,1.35,0.78
DDB_G0285657,0,0.23,1.1,1.02,2.18,4.4,1.53
DDB_G0286939,0,0.33,1.01,0.49,0.69,0.62,0.23
DDB_G0287079,0,0.18,0.08,0.45,0.84,0.37,0.49
DDB_G0287213,0,0.64,1.21,1.62,1.13,0.34,0.3
DDB_G0287753,0,0.19,1.13,1.66,0.54,0.58,0.5
DDB_G0287861,0,0,0,0.17,0.27,0.31,0.41
DDB_G0288027,0,0.24,0.16,0.36,0.08,0.42,0.16
DDB_G0288157,0,0.68,0.71,0.34,0.21,0,0.52
DDB_G0288675,0,0.28,1.84,0.83,3.85,1.31,1.45
DDB_G0289191,0,0.66,0.66,0.59,0.75,0.35,0.08
DDB_G0290725,0,0.67,1.19,2,2.76,5.1,2.85
DDB_G0291057,0,0.05,0,0.16,0.48,0.22,0.19
DDB_G0291326,0,0,0.63,0.71,0,0.32,0.28
DDB_G0291338,0,0.09,0,0,0.76,0.56,1.36
DDB_G0292078,0,1.32,0.68,1.46,4.91,1.32,7.22
DDB_G0292542,0,0,0,0,0,0,0
DDB_G0292928,0,0.12,1.31,2.04,1.83,2.15,1.46
DDB_G0293382,0,0,0,0,0,0,0
DDB_G0293922,0,0.24,0.23,0.43,0.42,0.9,0.33
DDB_G0293944,0,0.43,0,1.47,3.14,1.71,0.65
DDB_G0295693,0,0,0.6,0,0,0,0.26
DDB_G0283595,0.15,58.8,60.07,47.77,39.6,20.72,12.51
DDB_G0289693,4.85,75.47,1301.13,1842.7,3050.34,1648.43,820.69
DDB_G0274119,0.33,33.46,39.97,177.69,474.22,392.91,122.43
DDB_G0287599,1.18,18.35,90.94,327.23,498.34,642.73,256.88
DDB_G0275117,1.88,79.09,106.06,155.1,184.52,385.2,327.26
DDB_G0275417,0.18,1.69,8.75,13.89,11.88,7.21,5.25
DDB_G0275683,0.56,14.37,23.84,64.02,137.95,139.79,68.44
DDB_G0293942,3.61,132.49,149.09,120.65,141.26,118.95,116.83
DDB_G0275457,0.12,4.84,4.55,1.37,6.5,11.57,169.47
DDB_G0286397,0.07,0.52,2.56,2.7,2.23,1.21,0.7
DDB_G0285911,1.22,9.47,39.97,57.47,84.92,53.35,37.87
DDB_G0269342,0.67,9.79,21.79,21.2,26.57,13,15.57
DDB_G0275377,0.1,1.71,3.13,3.06,4.04,3.71,5.92
DDB_G0292004,0.64,2.32,19.75,25.1,36.57,11.4,8.48
DDB_G0271590,0.12,0.15,3.62,15.97,47.6,57.69,62.08
DDB_G0281847,0.42,8.19,10.79,8.07,12.42,10.24,8.82
DDB_G0278381,9.35,203.83,235.29,240.04,247.4,215.67,183.28
DDB_G0281241,2.64,0.4,65.93,93.39,27.77,9.41,11.87
DDB_G0279923,1.29,6.76,29.08,30.76,31.22,11.68,13.05
DDB_G0291181,8.06,125.44,181.97,172.53,171.92,174.71,124.82
DDB_G0294032,10.18,206.63,212.24,69.98,164.94,70.24,61.04
DDB_G0286533,10.51,43,215.29,183.37,151.02,78.98,72.69
DDB_G0290799,2.65,4.22,52.65,57.97,45.91,18.42,17.71
DDB_G0270262,1.1,25.1,20.09,21.9,16.43,5.98,6.91
DDB_G0267830,0.63,3.81,11.46,12.01,9.17,2.68,2.29
DDB_G0288469,0.3,0.43,5.22,4.08,7.69,4.29,3.35
DDB_G0268982,0.08,0.52,1.38,0.77,2.9,1.83,1.25
DDB_G0284091,11.44,139.65,196.92,139.08,156.24,69.73,41.93
DDB_G0276169,3.54,44.62,60.92,56.84,62.23,62.6,58.38
DDB_G0281307,0.17,0.8,2.8,5.92,4.26,5.34,4.6
DDB_G0277039,0.42,1.64,6.48,11.93,20.53,21.82,11.56
DDB_G0280183,1.07,3.02,16.3,15.44,9.95,12.27,5.53
DDB_G0283129,3.88,27.35,57.2,57.32,69.23,72.57,50
DDB_G0284341,0.2,1.29,2.89,2.62,4.2,1.41,0.54
DDB_G0349377,1.59,17.88,22.84,21.44,16.28,7.65,6.27
DDB_G0267668,3.74,18.01,53.72,34.15,35.55,11.88,6.89
DDB_G0277049,0.23,1.21,3.22,4.03,5.68,5.24,4.08
DDB_G0290011,1.98,8.35,27.97,31.03,40.38,28.47,21.94
DDB_G0271304,0.52,3.5,7.17,5.27,6.82,2.41,1.46
DDB_G0270764,0.55,1.29,7.28,8.09,9.2,1.67,1.55
DDB_G0274661,202.97,959.74,2684.07,2268.65,2136.41,1748.71,769.68
DDB_G0294014,46.27,582.96,587.34,182.24,257.47,146.69,103.19
DDB_G0273031,0.14,7.44,1.8,3.5,3.4,4.17,1.46
DDB_G0279237,0.03,0.17,0.4,0.57,0.61,0.87,0.6
DDB_G0278013,83.83,1410.69,1040.58,1536.66,471.55,1723.73,1431.21
DDB_G0289915,2.16,23.31,26.54,26.99,21.91,12.95,11.87
DDB_G0286379,2.95,5.47,35.72,33.97,20.53,4.36,4.34
DDB_G0287017,0.72,13.03,8.67,14.84,17.6,7.25,9.6
DDB_G0279951,7.88,12.01,93.65,447.08,1011.98,1090.92,439.9
DDB_G0288901,0.06,0.57,0.71,1.26,1.17,0.9,0.82
DDB_G0276631,0.42,1.85,4.69,6.64,11.75,6.6,4.81
DDB_G0279259,0.44,1.02,5,2.48,1.68,1.93,1.38
DDB_G0284969,1.91,13.46,20.71,19.13,16.52,16.76,14.77
DDB_G0288609,0.8,8.63,8.31,5.9,5.75,10.89,7.06
DDB_G0279221,0.56,1.71,5.78,3.78,2.7,1.98,3.43
DDB_G0283987,10.99,83.37,112.52,105.59,77.9,42.34,31.14
DDB_G0284263,1.4,1.57,14.21,16.3,22.09,6.38,3.81
DDB_G0282157,0.2,0.24,2.05,1.86,2.29,1.86,0.78
DDB_G0294074,12.26,97.23,122.41,56.29,61.52,49.33,39.56
DDB_G0291440,0.47,2.47,4.64,6.58,3.62,1.92,0.61
DDB_G0279547,0.1,0.46,0.95,0.93,1.39,1.06,1.31
DDB_G0275269,2.31,6.31,22.48,22.8,28.78,24.89,9.55
DDB_G0270558,0.13,0.85,1.28,0.96,0.95,0.6,0.46
DDB_G0280367,0.8,0.81,7.55,15.06,36.79,29.01,22.79
DDB_G0267680,0.31,0.46,2.87,6.5,8.3,6.94,8.79
DDB_G0283049,0.58,1.86,5.14,6.56,8.65,9.26,9.44
DDB_G0290089,0.56,3.09,5,6.46,9.94,18.87,32.34
DDB_G0288681,4.19,1.78,36.37,48.68,48.83,10.87,11.36
DDB_G0294425,10.85,91.33,93.26,42.51,81.77,62.11,44.36
DDB_G0270868,0.09,0.34,0.79,1.38,2.98,2.74,2.12
DDB_G0284901,2.05,8.87,17.48,12.85,11.56,7.03,6.77
DDB_G0291794,0.13,0.42,1.1,1.93,2.3,2.03,2.11
DDB_G0276155,25.21,134.25,210.98,131.43,111.68,116.7,106.31
DDB_G0280453,4.4,25.31,36.45,24,25.21,10.11,6.66
DDB_G0285587,12.45,37.24,102.83,93.06,84.43,87.06,71.59
DDB_G0270158,0.73,3.97,5.9,4.89,6.39,2.39,2.6
DDB_G0284755,2.16,18.9,17.55,15.32,24.06,12.38,5.77
DDB_G0294022,1.84,11.89,14.64,6.34,24.09,10.59,18.26
DDB_G0272931,3.61,5.67,28.67,30.6,44.13,21.47,21.55
DDB_G0293938,2.61,19.2,20.74,19.14,27.89,13.37,8.59
DDB_G0273089,2.62,15.5,20.34,17.97,13.78,16.31,11.08
DDB_G0268776,0.21,0.31,1.59,2.19,3.37,2.43,2.09
DDB_G0272142,1.11,1.97,8.53,7.1,5.06,2.74,2.46
DDB_G0285903,6.92,51.74,52.95,42.22,17.9,10.19,5.73
DDB_G0278273,0.09,0.14,0.69,0.57,1.21,1.76,1.48
DDB_G0287799,3.62,15.99,26.84,26.65,28.14,17.6,18.21
DDB_G0288329,5.49,8,39.88,43.45,61.84,47.39,48.65
DDB_G0282967,11,39,79.9,66.02,55.41,39.94,38.43
DDB_G0287769,0.33,1.91,2.34,3.83,3.21,1.53,1.81
DDB_G0270466,0.28,0.72,1.99,1.84,2.32,1.49,0.83
DDB_G0272358,0.44,1.7,3.14,5.67,4.96,2.55,2.54
DDB_G0294076,11.31,54.97,79.97,41.18,62.67,45.03,35.06
DDB_G0287161,0.59,3,4.16,2.72,0.86,1.54,0.91
DDB_G0295743,1.1,3.35,7.68,6.7,5.42,6.62,7.45
DDB_G0269418,0.3,0.45,2.09,6.55,7.14,4.23,2.75
DDB_G0267486,0.61,0.81,4.26,9.42,6.65,4.78,5.32
DDB_G0281799,0.8,0.97,5.48,8.19,8.69,6.71,8.28
DDB_G0275739,2.4,13.63,16.48,19.39,17.78,10.16,9.44
DDB_G0294056,1.95,11.3,13.26,4.49,13.48,6.35,8.29
DDB_G0267644,1.44,9.73,9.77,9.93,7.12,4.61,4.91
DDB_G0290009,1.91,11.63,12.84,15.32,14.91,10.2,8.65
DDB_G0276789,4.01,62.16,26.98,18.6,28.12,18.78,11.93
DDB_G0292646,0.6,3.46,3.99,3.48,5.42,3.5,2.63
DDB_G0271820,3.19,15.13,21.14,30.93,28.87,11.83,10.38
DDB_G0279261,0.13,0.49,0.87,2.48,2.48,1.67,1.3
DDB_G0274401,0.18,0.87,1.16,1.34,1.2,0.98,0.48
DDB_G0290083,2.09,6.71,13.72,18.12,10.56,11.36,4.18
DDB_G0281159,0.09,0.46,0.61,1.15,1.2,0.87,0.73
DDB_G0280549,7.8,45.81,50.01,23.57,12.44,8.3,6.59
DDB_G0289259,3.25,14.29,20.83,34.66,40.53,29.06,27.71
DDB_G0292930,0.17,0.29,1.07,2.02,3.17,2.04,1.6
DDB_G0289465,0.8,2.94,5.03,11.22,16.92,23.8,15.95
DDB_G0268864,8.84,50.25,55.16,49.88,23.66,12.68,8.3
DDB_G0293420,0.07,0.37,0.44,0.43,0.45,0.33,0.43
DDB_G0268934,1.57,0.84,9.79,11.94,23.37,15.03,12.01
DDB_G0279019,2.86,13.67,17.71,20.09,15.51,18.01,21.35
DDB_G0274819,0.07,0.64,0.42,0.75,0.75,0.4,0.37
DDB_G0290007,1.32,7.01,8.08,10.37,8.97,11.12,5.56
DDB_G0272476,21.43,76.5,130.88,199.52,284.94,214.27,171.92
DDB_G0286507,4.98,8.29,30.42,29.97,25.83,7.41,6.63
DDB_G0286697,0.13,0.78,0.79,0.86,0.67,1.06,0.52
DDB_G0275697,0.4,0.36,2.39,2.56,2.62,1.55,1.34
DDB_G0285611,0.37,1.76,2.17,3.87,2.93,4.57,2.74
DDB_G0276167,1.27,3.09,7.46,6.36,7.06,2.84,4.36
DDB_G0267416,1.6,5.81,9.3,11.85,9.56,21.17,19.7
DDB_G0294072,18.09,75.91,105.39,47.34,77.18,42.83,38.39
DDB_G0289215,0.22,1.23,1.29,2.15,1.92,0.89,0.64
DDB_G0286089,5.22,22.35,30.03,28.47,24.55,24.44,26.9
DDB_G0294030,206.15,1222.98,1165.92,365.51,445.94,266.06,193.12
DDB_G0285345,127.33,788.86,708.94,777.89,508.57,574.3,597.68
DDB_G0283907,43.52,154.89,241.24,259.59,235.79,282.68,308.23
DDB_G0267534,4.25,15.53,23.55,21.87,20.77,15.09,9.08
DDB_G0277991,13.92,60.13,76.59,81.27,92.81,58.01,45
DDB_G0285693,0.49,3.24,2.66,2.03,1.47,1.02,1.53
DDB_G0287353,1.19,2.91,6.45,9.5,9.33,5.16,2.98
DDB_G0275313,6.7,12.35,36.2,38.12,48.21,44.67,36.37
DDB_G0283763,3.05,15.44,16.34,22.13,72.55,120.16,56.33
DDB_G0289695,4.02,22.43,21.43,25.41,25.34,21.88,37.36
DDB_G0284939,8.28,49.5,44.07,46.45,45.95,25.25,31
DDB_G0276269,8.83,34.88,46.93,58.2,27.63,20.94,16.71
DDB_G0291151,0.15,0.17,0.77,1.79,4.18,1.69,1.27
DDB_G0268442,3.84,8.97,20.34,16.64,16.4,10.1,7.77
DDB_G0280423,5.12,29.75,26.92,28.36,28.85,21.74,17.79
DDB_G0282105,8.1,36.13,42.58,50.49,34.4,47.85,33.55
DDB_G0277313,2.18,5.73,11.35,16.13,16.83,14.54,13.91
DDB_G0284919,0.09,0.45,0.49,0.33,0.86,0.75,0.71
DDB_G0293882,0.22,1.1,1.14,0.87,0.94,1.27,1.77
DDB_G0295765,1.86,3.03,9.61,13.39,15.65,11.72,10.51
DDB_G0285581,3.76,16.99,19.35,19.23,18.65,11.6,13.49
DDB_G0283455,103.06,139.88,529.8,408.24,209.16,136.58,183.59
DDB_G0294028,13.47,84.11,68.78,18.21,39.62,15.3,9.92
DDB_G0284439,0.59,1.72,3.01,4.03,4.96,5.05,2.46
DDB_G0274207,3.44,6.41,17.31,24.19,48.64,38.3,34.37
DDB_G0282005,14.52,15,72.47,85.45,98.24,53.25,41.6
DDB_G0288165,11.58,71.07,57.73,67.79,47.42,32.77,32.67
DDB_G0273339,0.15,0.59,0.75,0.46,0.5,0.53,0.62
DDB_G0292354,26.33,82.3,130.2,145.94,124.14,79.07,76.55
DDB_G0281987,2.48,11.93,12.28,10.67,13.05,9.2,11.17
DDB_G0284343,0.17,0.2,0.84,4.24,3.04,16.76,11
DDB_G0270432,6.39,28.94,31.49,38.83,36.12,48.78,44.2
DDB_G0271378,1.52,7.11,7.37,5.41,4.1,3.6,3.03
DDB_G0287979,0.24,0.55,1.16,2.14,3.28,1.15,1.31
DDB_G0270758,2.21,6.22,10.7,12.47,12.33,13.95,21.43
DDB_G0293628,6.22,21.2,30.05,44.09,53.45,66.47,58.15
DDB_G0286567,0.17,0.19,0.8,0.89,1.01,0.89,1.02
DDB_G0280421,1.41,1.37,6.69,11.97,7.29,5.91,4.32
DDB_G0294044,47.93,179.09,220.44,92.07,110.44,65.31,60.18
DDB_G0270412,2.93,5.65,13.48,10.57,13.2,8.13,6.63
DDB_G0288135,0.1,0.53,0.45,0.84,1.19,0.5,1.04
DDB_G0294020,17.9,72.58,79.14,21.54,32.79,20.58,17
DDB_G0288925,1.8,9.35,7.96,4.32,3.53,1.67,3.04
DDB_G0289539,6.82,18.47,30.09,28.63,17.22,14.66,31.37
DDB_G0269780,4.27,12.72,18.71,20.02,19.48,12.87,13.74
DDB_G0292866,1.72,7.66,7.54,5.94,2.84,3.84,3.76
DDB_G0294012,965.9,3519.81,4213.16,1986.15,3149.75,1824.55,888.84
DDB_G0278023,0.49,3.18,2.11,1.28,0.79,1.54,0.67
DDB_G0284813,1.86,4.31,8.04,14.32,13.62,5.17,7.19
DDB_G0285011,23.69,58.99,102.1,90.33,91.76,83.12,111.18
DDB_G0294064,6.7,31.88,28.85,10.87,19.68,13.3,10.92
DDB_G0304475,5.05,5.61,21.73,37.51,37.64,28.67,24.71
DDB_G0283951,4.44,10,19.05,18.73,17.47,10.86,17.92
DDB_G0284067,4.96,52.11,20.87,23.89,17.65,8.96,8.67
DDB_G0279037,0.65,1.56,2.74,3.25,3.92,2.39,2.53
DDB_G0274457,3.26,4.99,13.53,17.87,12.96,7.69,6.36
DDB_G0270286,0.12,0.32,0.51,0.68,0.74,0.95,1.25
DDB_G0278849,37.29,88.36,153.35,149.05,130.11,75.34,61.03
DDB_G0294018,38.37,186.48,157.24,49.23,68.52,36.09,33.18
DDB_G0277247,6.2,11.17,25.31,23.16,22.43,17.48,11.93
DDB_G0281707,9.29,17.26,37.91,34.66,15,12.39,11.73
DDB_G0279965,18.97,26.9,77,62.36,40.41,26.92,17.17
DDB_G0270098,124.78,602.19,505.65,486.58,615.97,639.25,482.54
DDB_G0282075,5.16,11.42,20.89,25.63,15.86,7.77,6.51
DDB_G0291922,1.28,2.46,5.16,6.41,3.46,19.63,7.67
DDB_G0275467,1.64,1.75,6.52,10.45,30.03,11.42,7.73
DDB_G0288749,0.9,1.96,3.57,4.5,3.81,2.14,1.09
DDB_G0278117,53.55,273.57,211.49,85.69,45.77,22.68,19.58
DDB_G0280385,17.01,38.71,67.02,88.86,101.17,133.25,103.66
DDB_G0280507,1.69,2.31,6.64,8.61,9.19,15.68,21.4
DDB_G0276933,8.46,23.41,33.2,32.08,19.37,14.08,10.89
DDB_G0274901,0.39,0.89,1.51,2.11,2.39,2.38,1.03
DDB_G0273115,3.12,10.89,12.2,16.43,24.34,83.27,45.52
DDB_G0269824,1.75,7.64,6.82,8.11,9.16,5.07,5.43
DDB_G0269840,2.32,5.24,8.97,11.73,11.91,8.34,6.96
DDB_G0282931,3.77,11.51,14.49,11.49,6.7,3.89,3.99
DDB_G0286199,0.27,0.23,1.01,1.01,0.96,0.36,0.66
DDB_G0294040,53.69,134.51,203.67,90.66,101.46,68.71,54.14
DDB_G0283751,0.78,0.54,2.96,6.06,7.89,4.02,2.63
DDB_G0275919,0.2,0.52,0.77,0.83,1.16,0.5,0.81
DDB_G0277999,0.94,1.65,3.54,5.03,5.97,12.58,6.75
DDB_G0284225,9.46,18.93,35.51,43.74,27.89,37.13,27.22
DDB_G0290927,42.73,122.11,160.05,151.15,137.13,80.05,58.51
DDB_G0268824,0.26,0.6,0.96,0.76,1,0.69,0.84
DDB_G0290033,1.36,1.66,5.07,13.99,11.75,2.99,1.05
DDB_G0288593,13.24,18.84,49.4,49.49,52.62,50.22,49.92
DDB_G0291892,1.32,4.2,4.88,4.48,3.62,2.15,1.56
DDB_G0292458,0.46,2.04,1.7,0.98,1.35,0.71,0.54
DDB_G0289923,39.01,40.59,143.42,331.83,372.82,392.69,315.65
DDB_G0279905,0.96,2.27,3.52,3.46,3.98,2.2,2.93
DDB_G0278155,37.06,84.9,135.42,166.3,143.92,102.87,84.67
DDB_G0289135,2.59,2.89,9.45,14.15,15.83,8.07,5.36
DDB_G0277013,0.27,0.58,0.98,1.33,1.79,0.66,1.19
DDB_G0270854,1.67,5.94,6.04,6.63,8.62,3.48,4.26
DDB_G0294048,42.41,155.96,152.28,43.04,61.6,41.9,29.36
DDB_G0275655,1.02,0.85,3.68,4.29,2.73,2.04,1.74
DDB_G0271248,4.67,9.11,16.76,18.43,12.21,6.17,5.89
DDB_G0294078,17.92,68.61,63.69,23.58,61,23.19,30.51
DDB_G0294060,25.48,93.95,90.41,30.76,39.91,34.03,24.06
DDB_G0270026,3.29,4.18,11.54,9.78,7.37,2.23,2.64
DDB_G0270044,4.51,8.54,15.76,18.67,17.42,13.64,20.33
DDB_G0268634,7.94,24.32,27.67,23.6,22.25,14.36,15.99
DDB_G0290573,3.71,5.74,12.9,13.26,10.26,3.8,2.99
DDB_G0283311,2.18,2.04,7.53,6.18,6.27,1.75,2.61
DDB_G0289047,51.35,68.75,177.38,290.99,484.42,294.79,135.86
DDB_G0285543,0.18,0.26,0.63,0.39,0.88,0.7,0.63
DDB_G0279637,3.81,24.84,13.02,20.83,19.79,29.92,25.81
DDB_G0290829,1.73,3.41,5.86,5.32,3.38,3.91,3.15
DDB_G0275829,3.36,4.74,11.37,20.03,12.85,13.99,8.19
DDB_G0269890,8.79,36.56,29.74,17.89,9.8,6.91,5.52
DDB_G0280173,2.76,2.65,9.3,11.94,17.07,10.4,14.45
DDB_G0280475,20.69,20.69,69.37,51.76,39.7,25.7,23.37
DDB_G0289217,8.31,24.18,27.69,32.64,27.99,20.49,25.11
DDB_G0294092,655.62,1832.97,2180.22,1024.39,2097.13,1094.27,564.56
DDB_G0283735,6.12,17.38,20.15,14.65,12.84,14.51,14.75
DDB_G0292554,6.94,9.88,22.73,19.18,18.8,7.6,8.27
DDB_G0284347,41.37,167.92,135.29,136.59,119.14,158.35,129.92
DDB_G0275673,1.47,2.75,4.78,8.37,6.22,3.46,1.76
DDB_G0290277,1.85,2.6,6.01,6.34,3.91,2.86,2.82
DDB_G0285143,1.11,1.35,3.6,4.91,3.91,3.93,6.79
DDB_G0279915,3.03,0.87,9.79,27.12,34.17,19.02,11.98
DDB_G0278157,75.95,218.92,243.52,203.85,136.67,108.58,106.8
DDB_G0289173,701.04,1649.53,2242.15,1818.69,1597.79,1228.22,930.13
DDB_G0287055,12.41,16.54,39.61,36.19,73.91,92.51,63.46
DDB_G0282419,3.58,17.29,11.41,7.23,3,3,2.9
DDB_G0276353,0.12,0.39,0.37,1.12,2.96,1.58,1.34
DDB_G0286725,9.57,10.69,30.37,30.06,84.44,126.35,118.77
DDB_G0292774,7.67,30.53,24.21,45.9,52.07,52.8,35.89
DDB_G0276573,2.68,1.51,8.44,14.15,15.63,8.32,6.62
DDB_G0292618,1.59,1.9,4.97,6.85,10.7,4.54,3.34
DDB_G0267698,11.93,11.79,37.23,29.67,64.74,35.1,35.67
DDB_G0270652,0.08,0.2,0.26,0.22,0.45,0,0
DDB_G0271106,137.07,602.8,426.47,292.75,284.61,137.91,89.04
DDB_G0282689,1.66,2.04,5.15,4.64,3.78,1.9,2.3
DDB_G0276281,0.76,0.65,2.36,2.58,3.29,1.16,1.51
DDB_G0289475,0.53,0.8,1.65,2.38,2.54,1.87,2.08
DDB_G0276797,6.64,9.54,20.52,16.99,15.1,11.11,11.48
DDB_G0277699,4.77,3.31,14.64,18.49,86.14,157.36,56.88
DDB_G0278773,14.8,20.46,45.28,45.07,35.1,29.91,32.13
DDB_G0273141,6.66,12.54,20.37,11.64,5.62,3.1,3.9
DDB_G0282955,0.33,0.31,1,5.33,5.11,4.47,11.49
DDB_G0272867,19.64,185.39,59.27,88.39,52.52,28.82,27.17
DDB_G0278855,0.38,1.35,1.13,1.2,1.01,1.15,1.27
DDB_G0275027,5.79,5.85,17.45,19.05,21.81,42.88,49.77
DDB_G0269526,28.89,55.73,86.56,70.84,45.29,34.84,27.79
DDB_G0269356,1.53,4.47,4.53,11.33,7.5,9.47,4.36
DDB_G0271370,0.2,0.12,0.59,1.5,2.15,2.93,1.85
DDB_G0275999,1.3,1.5,3.8,5.56,5.78,3.04,2.39
DDB_G0290201,0.46,0.64,1.35,1.23,1.45,0.35,0.65
DDB_G0285491,2.88,2.34,8.36,6.72,4.86,2.39,1.9
DDB_G0292108,0.1,0.38,0.28,0.4,0.41,0.51,0.2
DDB_G0272835,14.65,39.16,42.5,60.19,33.93,46.59,57.09
DDB_G0277011,5.5,3.22,15.92,31.25,24.1,2.69,1.85
DDB_G0273039,2.89,5.37,8.3,12.23,14.48,9.77,9.2
DDB_G0271854,8.1,40.7,23.22,16.78,4.21,2.53,1.43
DDB_G0290459,0.27,0.59,0.79,0.95,0.68,0.79,0.79
DDB_G0287269,14.6,7.47,41.69,66.32,90.96,94.72,67.53
DDB_G0280595,16,29.14,45.39,34.17,28.06,21.15,14.71
DDB_G0292678,0.81,0.34,2.29,4.72,3.14,1.42,1.74
DDB_G0278327,2.68,1.42,7.51,9.22,7.47,5.17,1.75
DDB_G0294036,67.01,132.16,187.45,78.92,98.27,62.11,51.59
DDB_G0287949,0.29,1.06,0.8,0.92,1.39,0.9,1.11
DDB_G0278861,0.17,0.46,0.46,0.86,0.54,1.08,0.76
DDB_G0274713,0.84,0.5,2.32,5.1,69.93,157.24,87.63
DDB_G0277079,3.76,8.26,10.41,11.5,7.43,4.6,4.69
DDB_G0348940,0.1,0.11,0.28,0.39,0.6,0.45,1
DDB_G0282447,2.08,2.35,5.75,7.87,4.1,1.84,4.07
DDB_G0275645,0.37,0.14,1.01,1.23,0.62,0,0.32
DDB_G0270470,2.02,2.22,5.57,5.45,3.39,1.54,2.4
DDB_G0288595,1.07,2.32,2.93,5.31,4.78,4.9,3.65
DDB_G0275115,161.7,362.8,443.48,325.07,239.07,136.12,100.08
DDB_G0275545,7.39,21.91,20.07,24.59,15.07,7.79,13.92
DDB_G0279519,4.28,6.62,11.6,7.71,3.58,3.73,2.33
DDB_G0289137,5.08,2.63,13.54,9.63,7.84,5.97,6.79
DDB_G0291061,2.68,4.99,7.14,5.96,10.2,6.96,3
DDB_G0273147,0.36,0.64,0.95,0.63,1.21,0.94,2.53
DDB_G0279659,57.49,284.06,151.17,79.15,62.1,155.49,67.97
DDB_G0283949,1.4,0.96,3.67,4.5,4.8,2.17,7.87
DDB_G0271928,5.28,6.89,13.78,13.06,15.03,17.09,13.73
DDB_G0280237,3.22,8.13,8.34,7.04,6.56,3.37,3.99
DDB_G0284883,0.74,1.09,1.9,4.74,3.43,5.34,3.37
